song_no,song_name,song_label,song_feature
21,Friend,135.99917763157896,"[-0.5206067098963215, -1.5296296023413545, -1.9875466186200852, -1.8744679937665842, -1.9741393120472912, -1.9075513411309537, -2.285419334945428, 1.9786064908668852, 2.3929410172886065, -0.44374855448796063, 0.4856284172614219, 0.8705643122786176, -0.8374470280534636, 0.8627225938698252, -0.9434519037470224, -1.097528681204103, 0.010517287491761394, -0.751247702256745, 0.6107038004807323, -1.1406235025113414, -0.44316859401290576, -0.2318483165724007, -0.7802227504583743, -0.8203327775301331, -0.7152129420088623, -2.923721566184645]"
22,future base,86.1328125,"[1.2180207956212623, 0.9506982585826866, 0.7620998799288738, 0.9621580690017117, 0.9694961194744022, -0.05870936784550782, 0.9229832430969196, -0.767184795511111, -0.3743561343372956, -0.6200244107518451, 0.14191271300859903, 0.6600399005426569, 0.02837693262532654, 0.0012459304291289215, 0.9050305117046044, 0.41250078611798713, 0.34340265333557457, 0.1783384213950004, 0.924580735183677, 1.1601244534068047, 1.4095021983559037, 1.3319625312053842, 1.3952731927737831, 0.9232193089245135, 1.5600533950578959, 1.105205119148692]"
23,Gold Skies,129.19921875,"[0.6219856867193233, 0.2415708097647444, 0.8438696162829815, 0.6060710756487702, 0.8804525065309508, 0.7073603600738573, 0.767969683737133, -0.4815582962823406, -0.050063949625897095, -0.4438477989771493, -0.8904676742735121, 0.21737025360968376, 0.30843117433093575, 0.6234923839294567, 0.35379628503394084, 0.3977878347028487, 0.5949939988570319, -0.1456166763221998, -0.39337612845234005, -0.08330013051367657, 0.03784192168976387, -0.29673293063189055, 0.30322179558111023, -0.6409843991073774, -0.5897324089481665, -0.3721833482628902]"
24,Here We Are,161.4990234375,"[-0.9486028336517001, -0.7128264983981077, -1.2295871051042282, -1.738261972461041, -1.4085153989411194, -0.6026488101395587, -0.456170697270755, 1.5603127355487785, -1.8435586912643431, -0.7843877204104042, -0.7955146260040361, 0.7923883926086621, 0.37890990583192335, -0.07840785206280572, -0.2738826342353893, 0.8346099509187775, 0.585994870082919, 0.8508643701750112, -0.06440938778259249, -0.018444806777979973, -0.15115279575762153, -0.7516474788086407, 0.003915809210965755, -1.0397906065484663, -0.6390763580409025, -1.424808485395316]"
25,I'm So Sorry,117.45383522727273,"[-0.10370975987767507, -0.29562283054791716, -0.45110531367513784, -0.37376829416072677, -0.36746908757079405, -0.5334848066163821, -0.6241339873507158, -0.04870318430802249, 0.5797901039619825, 0.7338083615973655, 0.17761089861047347, 1.5241621966525518, 0.0653964752685679, 0.7504779856572182, 1.124777303090913, 0.30622359618427325, 1.28034987737189, 0.3318536104797831, -0.15384668465173515, 0.6012984671108311, 1.2307339477213377, 0.35578709966811856, -0.6805083465130763, -0.1292692217307101, 0.03825784705373721, -1.2432949641451336]"
26,Ibuki (Original Mix),129.19921875,"[0.1558127725306084, 1.78098948531122, 1.5174338127605935, 1.3814178053036443, 1.5811936827813697, 1.186617599007329, 1.5616699831618122, -1.2621928073344457, 0.15286537781333004, -0.3670790789339641, -0.9283610553470559, 0.03187526050352131, -0.46045325215578825, 0.2825077072123513, 0.41358790513254357, 0.6787621346039663, 0.5223742080039796, 0.48843493412287686, 0.8590968437101038, 1.5202772992705014, 1.169525276498884, 0.876822158498342, 1.2490303733307606, 1.1453269176482854, -0.057654859391975496, -0.11849568441992052]"
27,Kraken,129.19921875,"[3.188605289928211, 2.0459355007272415, 1.621797391813937, 1.4255301866724814, 1.6603272591124216, 0.6554658089846882, 1.634315837219371, -1.4401915329644743, -0.8273946486524038, -1.0561197332908308, 0.29785125905435395, 0.6741995177907052, 1.05744660885228, 1.3840981648854285, 1.3052044408604198, 1.257929389144963, 0.9402344684992061, 0.8764625633711931, 1.2799139012530942, 1.2323022061328255, 1.4440803786894592, 1.9057630400534833, 2.1567762879106485, 1.5855245826094255, 1.2418025397393893, 0.899508863206938]"
28,LA On A Saturday Night (Acoustic),83.35433467741936,"[0.46419612920367836, 1.239892913383912, -0.07476488016767609, 0.4116111199333637, 0.18734774114876063, -0.29254686530239815, 0.9614438689287007, 0.29604811247781165, 0.4166796217669409, -0.28677304470339227, 0.5895104878310025, 0.1971458345562665, 0.40137383900493406, 0.5668225312686336, -0.1930748435644435, 1.1276820461577417, 0.2600326890054787, 0.9430166954342334, 0.22675393708669067, 1.4660571361472654, 0.41666219643578617, 0.8174475572187515, -0.11972798687796814, 0.37864014875936125, -1.0207434872749839, 0.4941328404301269]"
29,Legends Never Die,143.5546875,"[0.7531047270173458, 0.7924116008911932, 0.10531133373884598, 0.25546612439836797, 0.23318534523249326, -0.07702283264172374, 0.7959560289027411, -0.21929706455090517, -0.6171634441451803, 0.38246442442893547, -0.039862108253402646, 0.4013550869037524, 0.7019596815689064, 0.86994072281014, 1.674455655181006, 0.9474960478797064, 0.31444278691342603, 0.7032296724310204, 0.6742110879597233, 1.3057045998867203, 0.6509372936181324, 0.8936336450042979, 0.9978042472379157, 0.384659731302453, 0.2848572466519397, 1.2613306290346538]"
30,Lemon,86.1328125,"[-0.33679748651302727, 0.5042543332292906, -0.38619867988529155, -0.2795737714954409, -0.38184238221249905, -0.10765130726368241, 0.6189425652893119, 0.5771299807569115, -0.9331628743227125, -0.8373798667709864, 0.7318193491967707, -0.3397389450339055, -1.1526901070406772, 0.44354077505876194, -0.35604984544252055, 0.27944335918722363, -0.31203190565686223, 0.5457991337021932, -0.4148612760220218, 0.5324785096911031, -0.15093078955435227, 0.7479259013279919, -1.8033299187430822, 0.0296091255682571, -0.042135201316699594, -0.7346776468872489]"
